Campaign ID,Channel,Category,Partners,Runtime,Target_Group_1,Target_Group_2,Target_Group_3,Payment_Method,Payment ($), Total_Impressions , Total_Clicks 
1,TV,Sports Channel,ESPN,04/13/25 - 05/12/25,Family Man,Single Man,Elderly Man,Pay Per Impression,$0.18, 191160 ,
2,TV,Sports Channel,ESPN,06/29/25 - 07/13/25,Family Man,Single Man,Elderly Man,Pay Per Impression,$0.18, 80775 ,
3,TV,Sports Channel,ESPN,04/03/25 - 04/12/25,Family Man,Single Man,Elderly Man,Pay Per Impression,$0.18, 61270 ,
4,TV,Sports Channel,Redbull,01/15/25 - 01/30/25,Single Man,,,Fixed Price,$10224, 65216 ,
5,TV,Sports Channel,Redbull,04/17/25 - 05/06/25,Single Man,,,Fixed Price,$9420, 92580 ,
6,SoMe,Social,Meta,03/13/25 - 03/31/25,Single Man,,,Pay Per Click,$0.95, 200906 , 30136 
7,SoMe,Social,Meta,01/21/25 - 02/08/25,Single Man,,,Pay Per Click,$0.95, 156256 , 23439 
8,SoMe,Social,Meta,04/13/25 - 05/06/25,Single Man,,,Pay Per Click,$0.95, 183120 , 21975 
9,SoMe,Social,Meta,05/02/25 - 05/17/25,Single Man,,,Pay Per Click,$0.95, 153952 , 7698 
10,TV,Social,Youtube,03/16/25 - 03/30/25,Family Man,,,Pay Per Click,$1.05, 155790 , 21811 
11,TV,Entertainment,Youtube,03/29/25 - 04/13/25,Single Man,,,Pay Per Click,$1.05, 158160 , 22143 
12,TV,Entertainment,Youtube,04/27/25 - 05/20/25,Single Man,,,Pay Per Impression,$0.20, 133944 ,
13,TV,Entertainment,Youtube,04/10/25 - 05/06/25,Single Man,,,Pay Per Impression,$0.20, 184815 ,
14,TV,Entertainment,Youtube,04/14/25 - 05/13/25,Single Man,,,Pay Per Impression,$0.20, 181860 ,
15,SoMe,Social,TikTok,06/01/25 - 06/19/25,Single Man,,,Pay Per Click,$1.10, 234346 , 32809 
16,SoMe,Social,TikTok,05/11/25 - 05/31/25,Single Man,,,Pay Per Click,$1.10, 292866 , 32216 
17,SoMe,Social,TikTok,05/30/25 - 06/15/25,Single Man,,,Pay Per Click,$1.10, 235705 , 28285 
18,TV,Entertainment,Disney,02/22/25 - 03/23/25,Family Man,,,Pay Per Click,$0.85, 254880 , 15293 
19,TV,Entertainment,Disney,06/03/25 - 06/13/25,Family Man,,,Pay Per Click,$0.85, 107118 , 8570 
20,TV,Entertainment,Disney,01/21/25 - 02/14/25,Family Man,,,Pay Per Click,$0.85, 202475 , 14174 
21,TV,Entertainment,Disney,02/12/25 - 03/03/25,Family Man,,,Pay Per Click,$0.85, 225960 , 22596 
22,TV,Sports Channel,FOX,01/24/25 - 02/17/25,Elderly Man,Family Man,Single Man,Fixed Price,$14125, 137150 ,
23,TV,Sports Channel,FOX,04/04/25 - 04/15/25,Elderly Man,Family Man,Single Man,Fixed Price,$6948, 57660 ,
24,TV,Entertainment,FOX,03/19/25 - 04/03/25,Elderly Man,Family Man,Single Man,Fixed Price,$9456, 61104 ,
25,TV,Entertainment,FOX,05/24/25 - 06/17/25,Elderly Man,Family Man,Single Man,Fixed Price,$14350, 122075 ,
26,TV,Entertainment,FOX,04/28/25 - 05/15/25,Elderly Man,Family Man,Single Man,Fixed Price,$8982, 97992 ,
27,TV,Sports Channel,NBC,03/10/25 - 03/28/25,Elderly Man,,,Pay Per Impression,$0.18, 98952 ,
28,TV,Entertainment,NBC,04/10/25 - 05/03/25,Elderly Man,,,Pay Per Impression,$0.18, 86064 ,
29,Online,Entertainment,New York Times,03/11/25 - 04/09/25,Single Man,,,Pay Per Click,$0.80, 329520 , 52724 
30,Online,Entertainment,Washington Post,02/27/25 - 03/16/25,Single Man,,,Pay Per Click,$0.80, 151200 , 25704 
31,Online,Entertainment,Washington Post,03/29/25 - 04/22/25,Single Man,,,Pay Per Click,$0.80, 209300 , 33488 
32,TV,Entertainment,Amazon,02/18/25 - 03/12/25,Family Man,Family Man,,Pay Per Impression,$0.20, 120773 ,
33,TV,Entertainment,Amazon,02/16/25 - 03/10/25,Family Man,Family Man,,Pay Per Impression,$0.20, 163176 ,
34,TV,Entertainment,Amazon,04/09/25 - 05/03/25,Single Man,Family Man,,Pay Per Impression,$0.20, 185825 ,
35,TV,Entertainment,Amazon,03/21/25 - 04/06/25,Single Man,Family Man,,Pay Per Impression,$0.20, 135626 ,
36,TV,Entertainment,Amazon,04/25/25 - 05/13/25,Single Man,Family Man,,Pay Per Impression,$0.20, 142804 ,
37,TV,Entertainment,Amazon,06/09/25 - 06/29/25,Single Man,Family Man,,Pay Per Impression,$0.20, 161238 ,
38,TV,Entertainment,Amazon,02/05/25 - 03/06/25,Single Man,Family Man,,Pay Per Impression,$0.20, 229020 ,
39,Online,Audio,Spotify,03/30/25 - 04/15/25,Single Man,,,Pay Per Click,$0.70, 227426 , 25017 
40,TV,Sports Channel,Discovery+,03/17/25 - 04/10/25,Family Man,Family Man,Single Man,Fixed Price,$10825, 93675 ,
41,TV,Sports Channel,Discovery+,04/14/25 - 05/09/25,Family Man,Single Man,Family Man,Fixed Price,$10426, 136916 ,
42,TV,Sports Channel,Discovery+,05/21/25 - 06/17/25,Elderly Man,Family Man,Single Man,Fixed Price,$11872, 141680 ,
43,TV,Entertainment,Discovery+,06/07/25 - 06/28/25,Elderly Man,Single Man,Family Man,Fixed Price,$10560, 111496 ,
