Restaurant name,2024 In-App Revenue,Estimated Share of Revenue (in %),Estimated Total Delivery Revenue,Loyalty,Size
Serrano's Fresco Grill,257.4,55,468,Average,Small
La Playa Mexican Cafe,261.855,55,476.1,Average,Small
El Super Burrito,388.08,80,485.1,High,Small
La Tiendita,263.7,50,527.4,Average,Small
Fiesta Fresh Mexican Grill,331.56,60,552.6,Average,Small
Cocobolos Woodfired Grill & Cantina,476.595,85,560.7,High,Small
Hot Rod Grill,114.48,20,572.4,Low,Small
Casa De Pico,335.61,55,610.2,Average,Small
Cebolla's Mexican Grill,246.24,40,615.6,Average,Small
Fresh Tortilla Taco,436.41,65,671.4,Average,Small
El Burro Picante,369.27,55,671.4,Average,Small
CoCo Bolos,632.61,90,702.9,High,Small
Fuego Cocina Y Tequileria,574.56,80,718.2,High,Small
Senor Fish,582.48,80,728.1,High,Small
La Encantada Mexican Cuisine,452.52,60,754.2,Average,Small
Burrito Loco,379.35,50,758.7,Average,Small
Yucatan Taco Stand,608.4,80,760.5,High,Small
Taqueria Guaymas,271.845,35,776.7,Low,Small
Armando's Restaurant,591.3,75,788.4,High,Small
Diamond Dave's,397.35,50,794.7,Average,Small
Pepe Pepe,716.85,90,796.5,High,Small
Monterrey Mexican Restaurant,757.35,90,841.5,High,Small
Cactus Flower Cafe,552.24,65,849.6,Average,Small
Habanero's Grill & Cantina,605.43,70,864.9,High,Small
Tacos El Unico,756,80,945,High,Small
Pedro's Tacos,880.47,90,978.3,High,Small
Dia De Campo,149.85,15,999,Low,Small
El Huipil,354.06,35,"1,011.60",Low,Small
Agave Maria Restaurant & Cantina,831.6,80,"1,039.50",High,Small
Tacombi At Fonda Nolita,260.325,25,"1,041.30",Low,Small
Taqueria La Famosa,766.71,70,"1,095.30",High,Small
Three Brothers Tacos,642.015,55,"1,167.30",Average,Small
Oba Restaurante,994.5,85,"1,170.00",High,Small
Los Pinos Taco Shop,764.595,65,"1,176.30",Average,Small
La Bodega,176.715,15,"1,178.10",Low,Small
Alberto's,556.875,45,"1,237.50",Average,Small
Luna Maya,940.95,75,"1,254.60",High,Small
Club Casa Cafe,1071,85,"1,260.00",High,Small
