Maker ID,Week 6 hours,Week 6 quantity approved,Week 7 hours,Week 7 quantity approved,Week 8 hours,Week 8 quantity approved,Week 9 hours,Week 9 quantity approved,Week 10 hours,Week 10 quantity approved
1010,25.94,4,29.05,5,28.18,5,21.33,3,20.69,2
1111,7.99,4,7.67,3,6.44,0,2,1,2,1
1120,32.22,15,36.73,17,40.04,16,32.44,13,33.74,12
1129,20.23,7,16.79,7,18.47,6,7.7,6,7.39,5
1130,42.42,14,45.81,12,30.05,6,32.94,7,34.92,7
1131,45.77,11,38.9,11,28.32,5,29.17,6,30.63,7
1134,28.26,9,33.63,8,28.92,6,22.63,5,21.05,4
1142,51.09,11,58.24,11,57.08,10,43.51,10,46.99,10
1148,33.4,10,27.05,10,23.26,10,16.26,8,15.12,8
1153,46.28,8,54.61,8,41.94,4,34.94,4,37.74,5
1160,27.49,16,32.44,17,35.68,18,25.4,15,24.89,14
1164,46.39,18,46.85,21,52.94,17,53.29,8,47.96,9
1171,34.34,14,34.34,13,24.18,6,24.85,7,25.35,7
1173,20.26,7,20.06,8,22.27,7,16.83,4,15.99,4
1174,15.05,9,16.71,8,15.87,8,7.08,5,7.58,5
1182,12.92,10,10.72,9,9.54,0,2,1,2,1
1183,26.47,8,21.71,8,18.02,7,7.96,7,7.96,6
1184,20.8,4,19.76,4,17.07,2,11.85,2,11.14,2
1186,30.27,15,29.66,14,25.51,12,20.59,10,21.83,11
1192,43.9,15,47.85,13,48.81,11,38.91,9,35.8,9
1193,21.76,7,24.81,8,28.28,8,26.94,7,26.94,6
1200,41.78,9,35.93,10,40.24,8,30.84,6,28.37,6
1210,42.46,9,39.91,9,43.1,9,41.41,7,37.68,8
1211,28.04,19,31.69,22,33.91,20,25.89,17,26.41,20
1214,43.33,19,47.23,19,53.84,20,53.99,15,58.85,16
1223,55.05,13,47.89,12,36.02,6,35.22,6,38.04,6
1228,9.59,4,10.26,3,9.95,0,2,1,2,1
1229,38.04,8,30.43,8,20.94,4,12.2,5,11.47,5
1235,13.79,6,12.14,4,12.87,3,7.93,2,8.56,2
1236,28.9,9,30.92,8,19.79,4,17.98,5,16.18,6
1238,21.96,11,25.25,10,24.75,9,22.46,3,21.79,3
1240,80,12,80,11,80,11,80,5,80,5
1247,80,21,78.98,22,63.97,18,57.97,13,59.71,13
1250,46.75,17,44.88,17,38.15,17,37.87,8,39.01,6
1252,13.47,3,12.66,3,15.07,3,3.06,1,3.34,1
1272,15.43,9,12.65,7,10.22,4,5.55,4,5.33,3
1281,60.41,9,70.08,7,80,6,76.63,3,69.73,3
1283,49.43,26,51.41,27,56.04,24,57.33,23,51.6,28
1290,19.52,8,17.18,9,15.26,4,9.69,4,9.69,4
1297,60.77,11,64.42,13,54.11,14,43.24,9,40.21,10
1301,34.79,7,41.75,8,34.65,7,26.69,3,27.22,3
1305,11.16,5,10.94,5,10.28,0,2,1,2,1
1307,21.59,6,22.89,4,20.37,4,12.74,2,12.87,2
1321,41.7,26,37.11,24,37.85,5,29.2,5,31.83,6
1332,25.72,8,25.21,7,20.67,6,12.08,4,12.8,4
1334,60.56,14,62.98,14,56.68,14,46.85,6,44.51,5
1338,8.74,4,7.25,3,5.51,0,2,0,2,0
1342,53.72,13,56.41,14,61.49,13,61.25,13,60.64,11
1344,36.75,10,36.38,10,36.38,8,23.56,5,23.09,4
1350,54.93,7,46.14,8,37.37,8,25.63,7,23.07,6
1351,37.24,16,30.54,18,21.5,8,20.84,7,22.3,6
1352,37.51,8,40.51,9,32.41,8,27.38,4,27.38,5
1353,14.56,7,13.25,5,15.37,5,9.29,4,10.13,4
1356,34.28,13,37.02,14,40.35,14,33.54,5,33.88,5
1357,19.52,8,16.79,7,12.09,4,10.13,4,10.03,4
1361,5.86,5,5.74,3,4.54,0,2,1,2,1
1364,26.5,7,25.71,6,27,6,21.35,5,21.99,6
1371,34.01,11,27.21,10,30.48,10,25.09,9,24.84,11
1375,10.92,5,12.01,4,11.17,4,5.29,2,5.66,2
1400,11.13,7,10.91,6,7.25,0,2,0,2,0
1410,21.37,9,25.22,8,29.76,7,22.46,3,22.91,3
1415,20.39,5,24.47,5,26.18,4,12.99,1,14.16,1
1436,33.88,12,33.88,13,21.68,5,19.83,5,19.83,5
1438,45.65,23,54.32,22,48.89,22,31.58,17,32.84,18
1440,19.16,11,20.5,10,19.27,10,9.19,4,9.37,5
1445,80,18,75.22,19,80,16,80,7,75.59,6
1446,15.88,6,18.26,7,13.73,4,9.88,5,9.78,4
1451,18.92,4,18.92,4,17.86,2,11.1,2,10.32,2
1456,19.22,9,20.37,7,15.65,3,10.39,2,11.33,2
1459,36.96,18,35.48,15,30.94,7,27.58,8,25.93,7
1460,6.39,6,7.35,5,8.82,0,2,1,2,1
1464,19.76,10,17.39,8,17.91,7,9.48,3,8.53,3
1467,16.83,7,17.84,6,14.45,6,8.9,2,9.17,2
1468,56.81,25,57.95,29,47.75,5,64.03,5,59.55,6
1471,37.12,8,39.72,8,32.57,7,28.46,7,25.9,6
1472,39.16,11,35.64,11,37.78,9,34.31,6,37.74,5
1476,23.56,16,26.39,15,20.26,7,15.56,6,16.8,6
1483,15.57,7,15.73,5,13.69,5,2.95,1,2.95,1
1490,49.83,12,58.3,11,52.47,10,35.03,4,33.28,3
1498,47.06,15,48,15,45.31,8,46.81,8,51.49,7
1502,59.56,11,61.35,12,41.22,5,44.01,6,42.69,7
1504,70.52,21,78.98,21,76.61,17,62.25,8,60.38,7
1506,37.76,12,33.61,12,22.05,6,25.52,5,25.52,4
1509,16.51,9,13.7,8,12.47,6,6.09,2,6.21,2
1525,47.08,12,54.14,11,45.48,5,37.48,4,38.6,5
1527,45.7,14,39.3,14,29.87,7,34.33,6,32.27,5
1528,30.47,14,27.73,12,31.89,11,30.31,7,29.1,8
1529,30.6,13,26.62,14,24.49,6,22.08,5,20.53,5
1532,16.65,6,19.15,7,16.09,6,4.87,1,5.21,1
1535,80,12,80,12,80,12,64.72,12,64.72,13
1537,31.92,10,27.13,11,27.13,9,22.47,6,20.9,7
1539,35.21,18,32.04,20,29.48,16,26.9,7,26.36,7
1542,42.68,17,48.66,14,58.39,12,49.47,12,47,11
1544,18.61,6,18.98,5,19.74,5,7.58,2,7.28,2
1549,63.33,14,72.2,13,58.34,6,75.13,6,75.88,5
1552,33.71,6,37.76,6,40.4,5,33.61,3,32.94,3
1557,50.69,8,59.31,10,55.75,8,55,4,50.6,4
1560,60.73,10,54.66,11,49.85,5,50.08,6,45.07,7
1568,29.31,10,29.9,12,25.12,12,22.39,9,23.29,9
1573,61.34,21,72.38,23,64,5,59.88,5,64.07,5
1576,57.01,15,55.3,16,59.72,15,60.68,6,58.86,7
1581,54.14,20,50.89,19,61.07,16,64.23,14,63.59,16
1583,57.96,18,64.92,18,57.65,5,75.31,5,72.3,5
1584,11.96,7,11.6,6,11.83,6,7.13,3,7.49,3
1589,59.85,20,50.87,20,38.66,9,40.4,9,42.02,9
1593,40.54,10,42.97,10,39.96,10,35.16,7,34.11,7
1596,19.53,5,22.85,5,19.65,5,12.42,2,12.54,2
1598,37.94,9,40.6,9,25.98,4,25.45,4,23.41,4
1600,17.42,6,14.11,5,13.26,5,4.93,2,5.03,2
1603,17.47,7,16.25,5,18.04,4,5.97,2,6.09,2
1605,12.45,7,10.83,7,8.99,0,2,1,2,1
1608,50.32,13,40.76,15,37.82,7,42.12,6,42.12,7
1618,19.55,7,16.03,6,16.51,5,10.48,4,11.42,4
1620,44.11,26,51.61,26,40.46,8,35.48,5,36.19,5
1622,36.15,7,31.81,8,34.99,8,19.69,6,18.71,7
1623,43.27,18,35.91,17,37.35,16,24.37,12,23.64,14
1628,19.5,9,20.28,9,16.22,5,10.64,5,10,5
1635,69.48,27,70.87,31,57.4,29,60.58,25,66.64,28
1636,16.4,11,17.06,10,15.35,9,5.05,5,4.8,5
1642,48.08,11,56.73,10,52.76,9,37.26,4,40.61,4
1645,12.18,6,11.57,4,10.76,4,2.44,1,2.44,1
1646,32.26,8,37.1,6,33.24,3,38.71,3,38.71,3
1647,15.27,5,16.34,3,14.25,1,8.85,1,9.65,1
1648,27.46,10,32.4,9,36.94,9,35.96,7,32.36,8
1653,11.35,7,10.78,8,8.73,0,2,1,2,1
1655,54.73,5,53.64,6,54.18,6,41.14,3,38.67,3
1668,56.69,20,64.63,22,54.29,19,53.89,9,50.12,8
1673,50.9,11,55.99,11,43.9,5,39.83,5,36.64,4
1674,50.72,15,59.85,17,46.92,8,45.79,7,41.21,7
1675,30.54,10,26.88,9,22.58,7,15.9,5,14.95,6
1678,18.08,4,17.18,5,13.47,3,9.69,3,10.47,3
1689,19.29,9,16.59,9,15.43,7,6.12,5,6,6
1696,47.01,14,41.37,15,37.65,15,35.17,14,37.28,13
1699,10.82,9,11.14,9,11.92,8,2.49,1,2.69,1
1706,64.56,15,72.95,15,69.3,13,72.7,12,71.25,10
1710,49.68,16,52.66,17,53.19,14,39.93,11,43.12,10
1713,22.31,7,26.55,8,19.54,4,21.34,5,22.83,4
1715,64.8,14,51.84,15,55.47,13,40.37,12,41.58,12
1716,33.03,9,35.67,10,33.1,5,41.66,4,44.16,4
1725,64.99,11,61.74,9,51.86,5,51.64,5,50.09,4
1729,9.12,5,10.85,5,13.02,4,3.63,2,3.96,2
1730,52.53,16,57.78,14,61.82,5,41.46,5,44.78,5
1734,21.62,15,24,15,21.12,15,10.74,10,10.1,11
1736,13.63,3,15.95,3,15.31,3,4.78,2,5.21,2
1740,25.87,8,23.8,7,23.32,7,11.36,4,10.56,4
1745,54.9,11,52.7,12,47.43,12,47.12,4,50.42,4
1746,57.42,11,49.38,11,58.76,11,56.64,9,56.07,7
1750,17.57,8,20.73,8,22.8,7,16.94,7,17.96,6
1754,72.37,12,59.34,11,50.44,11,35.36,7,36.42,7
1759,45.64,10,51.12,12,42.94,10,38.23,8,37.47,7
1762,35.54,17,28.79,18,21.88,5,13.88,5,14.57,6
1776,28.83,6,24.79,6,19.83,3,23.75,3,25.18,3
1780,16.63,6,14.63,7,13.02,7,5.32,4,5.21,3
1782,49.91,13,58.89,12,53.59,10,57.77,6,61.81,5
1785,34.93,10,29.34,12,30.51,12,16.41,10,15.1,10
1798,70.21,13,58.27,15,45.22,7,37.78,6,39.29,7
