Company name,Technology,2024 Revenue,2024 COGS
AstraForge,Mechanics,18170392,8685972
Orbitalis Labs,Acoustics,7245068,2495713
Zenith Dynamics,Controls,11474512,13384691
Celara Systems,Acoustics,11065180,14138509
NebulaCore,Acoustics,4476497,13666504
Altair Flightworks,Propulsion,2326144,5659557
SkyForge Technologies,Controls,11126898,6130231
Vectra Aero,Propulsion,9905218,5592804
IonPath Propulsion,Avionics,10089064,7758768
StratoLink,Mechanics,11985699,10519309
Arcadia Aerospace,Mechanics,5077657,7578672
ExoPulse,Controls,13440135,17986946
NovaLift,Avionics,9604997,12401570
Apex Orbital,Mechanics,10953538,5644947
Quantum Sky,Materials,9609395,14761550
LuminAer,Propulsion,3362283,17299670
Polaris Engines,Materials,3396451,4727414
VeloSpace,Materials,5263378,8272528
AeroGenesis,Mechanics,2551873,17091487
BlueVector Labs,Avionics,7065710,18793107
AstroNex,Propulsion,17688526,14798040
Orbionics,Mechanics,19352118,10031411
HelioDrive,Mechanics,7958733,8257373
StratEx Systems,Propulsion,18151516,8275113
HyperAero,Mechanics,11641502,10268918
VoidWorks,Acoustics,10683110,11830479
AeroNova,Materials,1552016,10105341
Celestial Mechanics,Mechanics,2901848,6206920
Lumeon Aerospace,Controls,19182615,8185090
Astrobyte,Mechanics,13227162,16985021
Skyform Labs,Controls,10805728,9821332
Orbitronix,Propulsion,15448234,17942855
Aerolith,Mechanics,12008098,8504881
VectorX Dynamics,Avionics,5779570,3543834
StratoTech,Propulsion,2341922,15226461
DeepFlight Systems,Materials,12904217,19452543
ExoCatalyst,Avionics,3333944,3564899
Zenithor,Avionics,5071186,13389878
Aerovate,Mechanics,17933410,13157172
StellarFlux,Propulsion,15731641,1519095
Astrionics,Materials,6179215,8615729
NovaPoint,Materials,12194704,17991329
AeroLyte,Mechanics,3839303,14976088
HyperLift,Materials,9770461,13502883
QuantumWing,Acoustics,12456349,11851695
ThrustForge,Materials,14000586,12652373
Orbital Gateways,Acoustics,19781402,9227570
AeroLynx,Controls,9095766,3722015
SkyCrest,Avionics,3940507,15897085
Ecliptic Labs,Avionics,5392941,6802888
StratusWorks,Propulsion,3474557,13190516
Nebulynx,Controls,16499238,3711044
AeroPulse,Mechanics,13825107,8911817
Luminex Flight,Propulsion,17926150,9557845
Helix Aerospace,Controls,11845634,15090704
ExoLift,Avionics,6618856,5212878
StratEdge Systems,Acoustics,4237333,1410733
NovaOrbit,Controls,12214613,14107139
VoidLabs,Avionics,19038434,11456522
Celestium,Avionics,16845828,13660388
Propulso,Controls,7078742,14696488
AstroCraft,Acoustics,13461724,12191276
AerodyneX,Propulsion,9757152,16820470
SkyStream Dynamics,Controls,8185396,9427870
HyperOrbital,Controls,4740536,4228360
CelaraX,Mechanics,16618964,5422808
AeroGen,Controls,15909136,18415359
StellarLink,Materials,15019990,13164624
Cosmodrive,Mechanics,8773496,3971971
Ascendia,Controls,3934163,7679816
AeroQuark,Controls,17342562,18458596
Interstel Labs,Mechanics,11646575,4061264
OrbitEra,Mechanics,15080963,7178647
BlueMach,Mechanics,6931715,16450091
ExoFlight,Acoustics,10310888,10279008
IonForge,Propulsion,11239573,14605412
AeroCore,Materials,12068305,17282779
Celestik,Avionics,5416431,14735429
Nebuloid,Acoustics,4276925,15801987
SkyCurrent,Avionics,8645261,4261243
Orbiflow,Materials,13023858,16390867
Quantum Aero,Propulsion,17847038,18392503
ApexLift,Materials,24709711,2357346
Aerithon,Propulsion,16396545,3966906
AstroEdge,Avionics,4699878,9642960
SkyStream,Controls,2320651,15965728
Cosmica,Acoustics,7927413,19203414
AeroVantage,Mechanics,7037166,12837550
HyperThrust,Propulsion,6347647,17095864
Ecliptica,Avionics,3249574,6134393
NovaLabs,Materials,7600474,1602312
ZenithCraft,Mechanics,17931516,7472867
VoidFront,Materials,9330706,13227803
AeroMatrix,Controls,11143627,15825941
LuminOrbit,Avionics,14134820,7376552
StellarReach,Controls,10023874,6586074
Orbitalynx,Mechanics,10847163,17840761
AeroFlux,Materials,17690923,4517436
Skybound Systems,Acoustics,16497969,6919526
Altum Dynamics,Avionics,2239687,4471930
IonVector,Controls,24753583,4199709
CelestIQ,Materials,16525321,5868758
OrbitX Labs,Propulsion,9643483,19335181
ExoStream,Materials,17144196,9840987
NebuFlight,Avionics,17483121,7591223
AeroLink,Avionics,11876572,1461664
QuantumFlight,Propulsion,17021341,15127483
NovaForge,Avionics,15782505,12785571
AeroZen,Acoustics,12932750,17447631
StarLift,Avionics,8109239,14039996
OrbitalCore,Avionics,4849439,11048190
SkyBridge Aerospace,Controls,18411484,17660645
LumeLabs,Mechanics,4836839,15332324
StratoPulse,Controls,13454245,11956258
AeroSphere,Acoustics,19414852,7339161
DeepOrbit,Materials,17797544,16056087
AscendX,Acoustics,6711548,1076945
ZenithAir,Materials,12202439,12224620
NebuDrive,Acoustics,7441029,13546906
AeroPhase,Controls,15329691,17479279
Celestara,Propulsion,7948741,7041805
AeroAxis,Avionics,2482355,9066477
EcliptIQ,Propulsion,6677885,5082518
HyperNova Dynamics,Controls,8893948,1560654
AeroPrism,Acoustics,8400026,19742599
SkyHalo,Acoustics,6887797,17573999
Orbix Labs,Materials,11721365,15847914
NovaRise,Acoustics,7558391,19364155
Aerionics,Avionics,14135528,14556868
StellarWorks,Controls,15545284,17598429
AeroFrontier,Avionics,5009126,15990756
StratIQ,Acoustics,4750581,11757569
Orbitech,Materials,17202435,5622312
AeroEdge,Materials,16186130,14617293
NebulaDrive,Propulsion,6533430,18327424
AeroCraft,Mechanics,12889100,4142533
Celarion,Materials,2197525,9934890
AeroThrust,Avionics,13685973,15445390
SkyLynx,Mechanics,14774636,18108061
AeroNexus,Avionics,2015408,18520046
NovaTrail,Controls,2575276,7242023
Orbicore,Mechanics,12738218,7164956
Aerith Labs,Acoustics,9399137,12559425
Zenithon,Avionics,5607256,15720867
AstroLink,Avionics,2701712,3352638
LumenAero,Materials,14274636,5421184
ExoDrive,Mechanics,12802591,3948712
SkyIQ,Materials,15024115,3697791
AeroNautic,Controls,8446193,18210139
PropulsoTech,Propulsion,19934387,16895122
AeroPulseX,Controls,11579659,4038138
NovaJet,Acoustics,13177514,18566218
AeroVelocity,Propulsion,2365093,3375073
SkyVenture,Materials,3066354,6469459
OrbitalWave,Avionics,13502133,9646121
StellarCore,Materials,11070728,13399095
Ionova,Acoustics,18204040,4468792
QuantumLift,Materials,19307910,9849620
StratoX,Avionics,13871680,4789514
AeroLine,Mechanics,4470409,14952324
Helion Dynamics,Acoustics,11175864,14032078
NebulaGate,Mechanics,16569528,18744300
SkyBound,Acoustics,6931109,18661771
CelestIQ Systems,Avionics,14657705,10630430
AeroPulse Labs,Controls,10990197,16933050
ZenithX,Controls,14911837,4811869
AstroForge,Acoustics,15410685,5437040
Orbital Vision,Acoustics,14996065,5780432
AeroRise,Avionics,8441700,5681129
NovaCore,Acoustics,2655331,16602176
SkyNova,Materials,3573421,19344462
AeroTitan,Mechanics,4006697,15283312
HyperLynx,Controls,2553967,8312290
AeroCraftX,Acoustics,14783129,7982078
Orbium,Materials,8456299,8845537
SkyLabs,Mechanics,16592005,14453837
CelaraTech,Controls,1552462,6578432
ZenithAero,Propulsion,1914541,7649312
AeroLoom,Acoustics,9029351,4634284
IonWings,Controls,2375427,7783861
AeroSpark,Mechanics,4767354,16057970
NovaStream,Mechanics,11945523,18054867
SkyVent,Mechanics,17632505,13649031
AeroVector,Avionics,18541970,4638032
StratoLift,Mechanics,8537598,18115014
Celestium Dynamics,Acoustics,17787373,17479810
AeroMatter,Acoustics,5158681,13837553
QuantumSky Labs,Mechanics,2758125,2006243
SkyJetics,Propulsion,7390045,3373754
AeroOrbit,Controls,12516899,13411022
OrbitaX,Propulsion,16491647,11655188
AeroLogic,Propulsion,12745010,12449877
AeroForgeX,Mechanics,17119425,18497677
StratoNova,Mechanics,13800359,7214585
AeroCatalyst,Acoustics,1773110,7341553
SkyVantage,Propulsion,3907211,19331977
AeroVectorX,Materials,16383425,9330788
QuantumWings,Mechanics,13295724,3541233
StellarPath,Acoustics,4013361,15236626
HyperEdge200,Propulsion,16363929,18289138
IonCraft201,Mechanics,17521629,10629447
StellarCore202,Materials,11301525,9528524
ExoLink203,Propulsion,10267856,13265542
AeroWorks204,Materials,16241396,16113863
AstroSystems205,Avionics,13287278,6094060
CelestDynamics206,Mechanics,7013792,10903351
SkyLabs207,Avionics,18307782,16143945
NovaDrive208,Propulsion,11437263,7386910
OrbitalTech209,Avionics,1179013,5403327
StratoLift210,Mechanics,10249183,1198235
QuantumFlow211,Mechanics,6489957,7189744
HyperEdge212,Controls,7418251,16905938
IonCraft213,Acoustics,15210649,3037369
StellarCore214,Avionics,3311412,5803059
ExoLink215,Controls,4116025,1046598
AeroWorks216,Mechanics,6288597,19321261
AstroSystems217,Propulsion,15032792,11211490
CelestDynamics218,Controls,5348082,5332332
SkyLabs219,Avionics,1980461,15921481
NovaDrive220,Propulsion,7492929,17118833
OrbitalTech221,Acoustics,13627504,11762932
