Customer_ID,Generation,Gender,Region,Diet,Spice_Preference,Menu_ITEM,Price_USD,Calories,Taste_Rating,Portion_Rating,Freshness_Rating,Value_for_Price,Likelihood_to_Recommend,Overall_Sat
CUST_0001,Gen X,Male,Midwest,Flexitarian,Mild,Chicken Burrito,10.9,740,2,8,5,4,6,10
CUST_0002,Gen X,Male,Midwest,Flexitarian,Mild,Steak Bowl,10.85,710,3,3,8,7,5,9
CUST_0003,Gen X,Male,Midwest,Flexitarian,Mild,Veggie Bowl,9.69,590,7,4,7,6,4,8
CUST_0004,Gen X,Male,Midwest,Flexitarian,Mild,Barbacoa Tacos (3),12.74,650,2,5,4,3,6,4
CUST_0005,Gen X,Male,Midwest,Flexitarian,Mild,Carnitas Salad,12.04,620,3,7,5,4,4,5
CUST_0006,Gen Z,Male,Northeast,Flexitarian,Medium,Chicken Burrito,10.88,740,7,8,6,5,10,7
CUST_0007,Gen Z,Male,Northeast,Flexitarian,Medium,Steak Bowl,10.35,710,6,7,7,6,8,8
CUST_0008,Gen Z,Male,Northeast,Flexitarian,Medium,Veggie Bowl,9.04,590,3,4,8,7,3,8
CUST_0009,Gen Z,Male,Northeast,Flexitarian,Medium,Barbacoa Tacos (3),11.1,650,3,7,7,6,6,9
CUST_0010,Gen Z,Male,Northeast,Flexitarian,Medium,Carnitas Salad,10.34,620,8,6,7,6,6,7
CUST_0011,Gen Z,Female,Northeast,Omnivore,Mild,Chicken Burrito,10.18,740,4,3,7,6,6,5
CUST_0012,Gen Z,Female,Northeast,Omnivore,Mild,Steak Bowl,12.52,710,4,3,8,7,8,7
CUST_0013,Gen Z,Female,Northeast,Omnivore,Mild,Veggie Bowl,9.9,590,6,2,6,5,10,5
CUST_0014,Gen Z,Female,Northeast,Omnivore,Mild,Barbacoa Tacos (3),12.8,650,7,2,6,5,5,4
CUST_0015,Gen Z,Female,Northeast,Omnivore,Mild,Carnitas Salad,10.93,620,7,7,8,7,6,7
CUST_0016,Boomer,Female,Northeast,Flexitarian,Mild,Chicken Burrito,9.47,740,2,4,8,7,8,10
CUST_0017,Boomer,Female,Northeast,Flexitarian,Mild,Steak Bowl,11.54,710,3,4,8,7,9,3
CUST_0018,Boomer,Female,Northeast,Flexitarian,Mild,Veggie Bowl,10.73,590,5,4,8,7,9,5
CUST_0019,Boomer,Female,Northeast,Flexitarian,Mild,Barbacoa Tacos (3),12.06,650,7,4,7,6,10,4
CUST_0020,Boomer,Female,Northeast,Flexitarian,Mild,Carnitas Salad,11.18,620,8,8,5,4,4,6
CUST_0021,Boomer,Male,Midwest,Flexitarian,Medium,Chicken Burrito,10.78,740,3,7,4,3,3,5
CUST_0022,Boomer,Male,Midwest,Flexitarian,Medium,Steak Bowl,12.16,710,6,7,5,4,3,10
CUST_0023,Boomer,Male,Midwest,Flexitarian,Medium,Veggie Bowl,10.66,590,6,8,10,9,5,10
CUST_0024,Boomer,Male,Midwest,Flexitarian,Medium,Barbacoa Tacos (3),11.63,650,6,8,7,6,5,10
CUST_0025,Boomer,Male,Midwest,Flexitarian,Medium,Carnitas Salad,10.73,620,8,3,6,5,7,5
CUST_0026,Gen X,Male,Northeast,Vegetarian,Hot,Chicken Burrito,10.3,740,6,7,6,5,5,3
CUST_0027,Gen X,Male,Northeast,Vegetarian,Hot,Steak Bowl,12.11,710,7,3,7,6,5,10
CUST_0028,Gen X,Male,Northeast,Vegetarian,Hot,Veggie Bowl,9.43,590,7,8,8,7,10,8
CUST_0029,Gen X,Male,Northeast,Vegetarian,Hot,Barbacoa Tacos (3),12.78,650,4,7,3,2,5,7
CUST_0030,Gen X,Male,Northeast,Vegetarian,Hot,Carnitas Salad,11.7,620,2,6,5,4,5,3
CUST_0031,Boomer,Male,South,Omnivore,Mild,Chicken Burrito,9.87,740,3,2,8,7,4,8
CUST_0032,Boomer,Male,South,Omnivore,Mild,Steak Bowl,11.27,710,3,2,3,2,9,5
CUST_0033,Boomer,Male,South,Omnivore,Mild,Veggie Bowl,10.72,590,8,4,10,9,7,3
CUST_0034,Boomer,Male,South,Omnivore,Mild,Barbacoa Tacos (3),12.07,650,4,5,10,9,5,9
CUST_0035,Boomer,Male,South,Omnivore,Mild,Carnitas Salad,11.55,620,7,4,9,8,5,6
CUST_0036,Boomer,Female,Midwest,Flexitarian,Medium,Chicken Burrito,10.43,740,2,5,7,6,6,4
CUST_0037,Boomer,Female,Midwest,Flexitarian,Medium,Steak Bowl,11.47,710,8,8,7,6,3,5
CUST_0038,Boomer,Female,Midwest,Flexitarian,Medium,Veggie Bowl,9.41,590,8,2,7,6,7,7
CUST_0039,Boomer,Female,Midwest,Flexitarian,Medium,Barbacoa Tacos (3),11.52,650,6,6,7,6,7,8
CUST_0040,Boomer,Female,Midwest,Flexitarian,Medium,Carnitas Salad,11.47,620,2,6,6,5,4,3
CUST_0041,Boomer,Male,Midwest,Vegetarian,Hot,Chicken Burrito,10.64,740,7,6,4,3,8,5
CUST_0042,Boomer,Male,Midwest,Vegetarian,Hot,Steak Bowl,10.73,710,5,6,7,6,4,9
CUST_0043,Boomer,Male,Midwest,Vegetarian,Hot,Veggie Bowl,9.92,590,8,3,3,2,5,8
CUST_0044,Boomer,Male,Midwest,Vegetarian,Hot,Barbacoa Tacos (3),11.88,650,2,5,4,3,10,3
CUST_0045,Boomer,Male,Midwest,Vegetarian,Hot,Carnitas Salad,9.94,620,5,4,6,5,6,8
CUST_0046,Boomer,Male,Midwest,Omnivore,Mild,Chicken Burrito,9.71,740,8,2,6,5,5,8
CUST_0047,Boomer,Male,Midwest,Omnivore,Mild,Steak Bowl,10.83,710,3,5,6,5,10,9
CUST_0048,Boomer,Male,Midwest,Omnivore,Mild,Veggie Bowl,10.87,590,4,6,7,6,3,6
CUST_0049,Boomer,Male,Midwest,Omnivore,Mild,Barbacoa Tacos (3),10.94,650,7,2,5,4,6,9
CUST_0050,Boomer,Male,Midwest,Omnivore,Mild,Carnitas Salad,11.51,620,6,7,4,3,7,5
CUST_0051,Boomer,Male,South,Flexitarian,Medium,Chicken Burrito,9.56,740,5,8,7,6,10,4
CUST_0052,Boomer,Male,South,Flexitarian,Medium,Steak Bowl,12.6,710,6,2,3,2,6,9
CUST_0053,Boomer,Male,South,Flexitarian,Medium,Veggie Bowl,10.32,590,6,8,3,2,3,4
CUST_0054,Boomer,Male,South,Flexitarian,Medium,Barbacoa Tacos (3),12.4,650,6,7,10,9,3,10
CUST_0055,Boomer,Male,South,Flexitarian,Medium,Carnitas Salad,10.44,620,5,3,9,8,6,8
CUST_0056,Gen X,Female,South,Vegetarian,Hot,Chicken Burrito,10.9,740,5,6,7,6,4,7
CUST_0057,Gen X,Female,South,Vegetarian,Hot,Steak Bowl,12.21,710,7,4,3,2,9,10
CUST_0058,Gen X,Female,South,Vegetarian,Hot,Veggie Bowl,9.18,590,3,5,4,3,7,4
CUST_0059,Gen X,Female,South,Vegetarian,Hot,Barbacoa Tacos (3),12.95,650,4,3,10,9,7,6
CUST_0060,Gen X,Female,South,Vegetarian,Hot,Carnitas Salad,11.34,620,6,7,8,7,4,3
