Product_ID,Sale_Date,Sales_Rep,Region,Quantity_Sold,Product_Category,Unit_Cost,Unit_Price,Customer_Type,Discount,Payment_Method,Sales_Channel
1052,2/3/23,Bob,North,18,Furniture,152.75,267.22,Returning,0.0225,Cash,Online
1093,4/21/23,Bob,West,17,Furniture,3816.39,4209.44,Returning,0.0275,Cash,Retail
1015,9/21/23,David,South,30,Food,261.56,371.4,Returning,0.05,Bank Transfer,Retail
1072,8/24/23,Bob,South,39,Clothing,4330.03,4467.75,New,0.005,Credit Card,Retail
1061,3/24/23,Charlie,East,13,Electronics,637.37,692.71,New,0.02,Credit Card,Online
1021,2/11/23,Charlie,West,32,Food,900.79,1106.51,New,0.0525,Cash,Online
1083,4/11/23,Bob,West,29,Furniture,2408.81,2624.09,Returning,0.035,Cash,Online
1087,1/6/23,Eve,South,46,Furniture,3702.51,3964.65,New,0.03,Bank Transfer,Online
1075,6/29/23,David,South,30,Furniture,738.06,1095.45,New,0.0125,Bank Transfer,Online
1075,10/9/23,Charlie,West,18,Clothing,2228.35,2682.34,New,0.0325,Bank Transfer,Online
1088,11/16/23,Eve,North,13,Furniture,2440.11,2517.6,New,0.0575,Bank Transfer,Retail
1100,8/14/23,Bob,West,43,Food,1100.81,1137.44,Returning,0.02,Bank Transfer,Online
1024,11/11/23,Eve,West,21,Food,622.01,641.09,Returning,0,Bank Transfer,Retail
1003,12/31/23,Alice,South,30,Furniture,4190.28,4270.65,New,0.05,Cash,Online
1022,8/17/23,Charlie,South,21,Food,2537.2,2869.6,New,0.0725,Bank Transfer,Retail
1053,10/16/23,Bob,North,48,Furniture,121.19,487.65,New,0.045,Cash,Retail
1002,5/30/23,David,North,17,Furniture,4024.76,4420.15,Returning,0.01,Cash,Online
1088,10/4/23,Bob,East,40,Electronics,4904.93,5034.35,New,0.025,Credit Card,Retail
1030,7/17/23,David,West,19,Clothing,3049.33,3209.22,Returning,0.065,Cash,Online
1038,3/11/23,Bob,South,15,Clothing,2543.36,2790.1,Returning,0.0175,Cash,Online
1002,4/22/23,Eve,North,9,Electronics,4398.16,4439.12,New,0.045,Bank Transfer,Online
