,,,,,,,,,
Operating Airline,Operating Airline IATA Code,Published Airline,GEO Region,Activity Type Code,Passenger Count,Adjusted Activity Type Code,Adjusted Passenger Count,Year,Month
TACA,TA,TACA,Central America,Enplaned,4836,Enplaned,4836,2014,August
US Airways,US,US Airways,US,Deplaned,83821,Deplaned,83821,2014,August
US Airways,US,US Airways,US,Enplaned,86383,Enplaned,86383,2014,August
United Airlines,UA,United Airlines,US,Deplaned,28191,Deplaned,28191,2014,August
United Airlines,UA,United Airlines,US,Enplaned,24730,Enplaned,24730,2014,August
United Airlines,UA,United Airlines,US,Thru / Transit,20,Thru / Transit * 2,40,2014,August
United Airlines,UA,United Airlines,US,Deplaned,285079,Deplaned,285079,2014,August
United Airlines,UA,United Airlines,US,Enplaned,301827,Enplaned,301827,2014,August
United Airlines,UA,United Airlines,US,Thru / Transit,305,Thru / Transit * 2,610,2014,August
United Airlines,UA,United Airlines,US,Deplaned,392063,Deplaned,392063,2014,August
United Airlines,UA,United Airlines,US,Enplaned,366190,Enplaned,366190,2014,August
United Airlines,UA,United Airlines,US,Thru / Transit,613,Thru / Transit * 2,1226,2014,August
United Airlines,UA,United Airlines,Asia,Deplaned,79459,Deplaned,79459,2014,August
United Airlines,UA,United Airlines,Asia,Enplaned,80208,Enplaned,80208,2014,August
United Airlines,UA,United Airlines,Australia / Oceania,Deplaned,7912,Deplaned,7912,2014,August
United Airlines,UA,United Airlines,Australia / Oceania,Enplaned,6522,Enplaned,6522,2014,August
United Airlines,UA,United Airlines,Canada,Deplaned,13847,Deplaned,13847,2014,August
United Airlines,UA,United Airlines,Canada,Enplaned,13139,Enplaned,13139,2014,August
United Airlines,UA,United Airlines,Europe,Deplaned,44747,Deplaned,44747,2014,August
United Airlines,UA,United Airlines,Europe,Enplaned,44983,Enplaned,44983,2014,August
United Airlines,UA,United Airlines,Mexico,Deplaned,24720,Deplaned,24720,2014,August
United Airlines,UA,United Airlines,Mexico,Enplaned,22925,Enplaned,22925,2014,August
United Airlines,UA,United Airlines,Mexico,Thru / Transit,40,Thru / Transit * 2,80,2014,August
Virgin America,VX,Virgin America,US,Deplaned,176215,Deplaned,176215,2014,August
Virgin America,VX,Virgin America,US,Enplaned,175566,Enplaned,175566,2014,August
Virgin America,VX,Virgin America,Mexico,Deplaned,4876,Deplaned,4876,2014,August
Virgin America,VX,Virgin America,Mexico,Enplaned,4063,Enplaned,4063,2014,August
