Country,Region,Similar Diet to Europe,Similar Climate to Europe,European language,Same grocery brands as Europe,Same majority religion as majority in Europe,Same holidays as Europe,
Algeria,Africa,1,1,1,1,0,0,
Angola,Africa,0,0,1,0,1,1,
Benin,Africa,0,0,1,0,1,1,
Botswana,Africa,0,0,1,1,1,1,
Burkina Faso,Africa,0,0,1,0,1,1,
Burundi,Africa,0,0,1,0,1,1,
Cabo Verde,Africa,0,0,1,0,0,1,
Cameroon,Africa,0,0,1,1,1,1,
Central African Republic,Africa,0,0,1,0,1,1,
Chad,Africa,0,0,1,0,0,0,
Comoros,Africa,0,0,1,0,0,0,
Congo (DRC),Africa,0,0,1,0,1,1,
Congo (Republic),Africa,0,0,1,0,1,1,
Cote dIvoire,Africa,0,0,1,1,1,1,
Djibouti,Africa,0,0,1,0,0,0,
Egypt,Africa,1,1,0,1,0,0,
Equatorial Guinea,Africa,0,0,1,0,0,0,
Eritrea,Africa,0,0,0,0,1,1,
Eswatini,Africa,0,0,1,1,1,1,
Ethiopia,Africa,0,0,0,0,1,1,
Gabon,Africa,0,0,1,0,1,1,
Gambia,Africa,0,0,1,0,0,0,
Ghana,Africa,0,0,1,1,1,1,
Guinea,Africa,0,0,1,0,0,0,
Guinea-Bissau,Africa,0,0,1,0,0,0,
Kenya,Africa,0,0,1,1,1,1,
Lesotho,Africa,0,0,1,1,1,1,
Liberia,Africa,0,0,1,0,1,1,
Libya,Africa,1,1,0,0,0,0,
Madagascar,Africa,0,0,1,0,1,1,
Malawi,Africa,0,0,1,0,1,1,
Mali,Africa,0,0,1,0,0,0,
Mauritania,Africa,0,0,1,0,0,0,
Mauritius,Africa,1,0,1,1,0,1,
Morocco,Africa,1,1,0,1,0,0,
Mozambique,Africa,0,0,1,1,0,0,
Namibia,Africa,1,1,1,1,1,1,
Niger,Africa,0,0,1,0,0,0,
Nigeria,Africa,0,0,1,1,1,1,
Rwanda,Africa,0,0,1,0,1,1,
Senegal,Africa,0,0,1,1,0,0,
Seychelles,Africa,0,0,1,0,1,1,
Sierra Leone,Africa,0,0,1,0,1,1,
Somalia,Africa,0,0,1,0,0,0,
South Africa,Africa,1,1,1,1,1,0,
South Sudan,Africa,0,0,1,0,1,1,
Sudan,Africa,1,1,1,1,1,1,
Sao Tome and Principe,Africa,0,0,1,0,1,1,
Tanzania,Africa,0,0,1,1,1,1,
Togo,Africa,0,0,1,0,1,1,
Tunisia,Africa,1,1,1,1,0,0,
Uganda,Africa,0,0,1,1,1,1,
Zambia,Africa,0,0,1,1,1,1,
Zimbabwe,Africa,0,0,1,1,1,1,
Afghanistan,Asia,0,0,0,0,0,0,
Armenia,Asia,1,1,0,0,1,1,
Azerbaijan,Asia,0,1,0,0,0,0,
Bahrain,Asia,0,0,0,1,0,0,
Bangladesh,Asia,0,0,0,0,0,0,
Bhutan,Asia,1,1,1,1,1,1,
Brunei,Asia,0,0,0,0,0,0,
Cambodia,Asia,0,0,0,0,0,0,
China,Asia,0,0,0,1,0,0,
Cyprus,Asia,1,1,1,1,1,1,
Georgia,Asia,1,1,0,0,1,1,
India,Asia,0,0,1,1,0,1,
Indonesia,Asia,0,0,0,1,0,0,
Iran,Asia,0,0,0,0,0,0,
Iraq,Asia,0,0,0,0,0,0,
Israel,Asia,1,1,0,0,0,0,
Japan,Asia,0,1,0,0,0,0,
Jordan,Asia,0,0,0,1,0,0,
Kazakhstan,Asia,0,0,1,0,0,1,
Kuwait,Asia,0,0,0,1,0,0,
Kyrgyzstan,Asia,0,0,1,0,0,1,
Laos,Asia,0,0,0,0,0,0,
Lebanon,Asia,1,1,0,1,0,1,
Malaysia,Asia,0,0,0,1,0,0,
Maldives,Asia,0,0,0,0,0,0,
Mongolia,Asia,0,0,0,0,0,0,
Myanmar,Asia,0,0,0,0,0,0,
Nepal,Asia,0,0,0,0,0,0,
North Korea,Asia,0,1,0,0,0,0,
Oman,Asia,0,0,0,1,0,0,
Pakistan,Asia,0,0,1,0,0,0,
Philippines,Asia,0,0,1,1,1,1,
Qatar,Asia,0,0,0,1,0,0,
Saudi Arabia,Asia,0,0,0,1,0,0,
Singapore,Asia,0,0,1,1,0,1,
South Korea,Asia,0,1,0,0,0,1,
Sri Lanka,Asia,0,0,0,0,0,1,
Syria,Asia,0,0,0,0,0,0,
Taiwan,Asia,0,0,0,0,0,1,
Tajikistan,Asia,0,0,0,0,0,0,
Thailand,Asia,0,0,0,1,0,0,
Timor-Leste,Asia,0,0,1,0,1,1,
Turkey,Asia,1,1,0,1,0,0,
Turkmenistan,Asia,0,0,0,0,0,0,
United Arab Emirates,Asia,0,0,0,1,0,0,
Uzbekistan,Asia,0,0,0,0,0,0,
Vietnam,Asia,0,0,0,1,0,0,
Yemen,Asia,0,0,0,0,0,0,
Albania,Europe,1,1,1,1,1,1,
Andorra,Europe,1,1,1,1,1,1,
Austria,Europe,1,1,1,1,1,1,
,Europe,1,1,1,1,1,1,
,Europe,1,1,1,1,1,1,
,Europe,1,1,1,1,1,1,
Belarus,Europe,1,1,1,1,1,1,
,Europe,1,1,1,1,1,1,
Belgium,Europe,1,1,1,1,1,1,
,Europe,1,1,1,1,1,1,
Bosnia and Herzegovina,Europe,1,1,1,1,1,1,
,Europe,1,1,1,1,1,1,
Bulgaria,Europe,1,1,1,1,1,1,
,Europe,1,1,1,1,1,1,
Croatia,Europe,1,1,1,1,1,1,
,Europe,1,1,1,1,1,1,
"Cyprus (geographically Asia, politically European)",Europe,1,1,1,1,1,1,
,Europe,1,1,1,1,1,1,
Czech Republic (Czechia),Europe,1,1,1,1,1,1,
,Europe,1,1,1,1,1,1,
Denmark,Europe,1,1,1,1,1,1,
,Europe,1,1,1,1,1,1,
Estonia,Europe,1,1,1,1,1,1,
,Europe,1,1,1,1,1,1,
Finland,Europe,1,1,1,1,1,1,
,Europe,1,1,1,1,1,1,
France,Europe,1,1,1,1,1,1,
,Europe,1,1,1,1,1,1,
Georgia (transcontinental),Europe,1,1,1,1,1,1,
,Europe,1,1,1,1,1,1,
Germany,Europe,1,1,1,1,1,1,
,Europe,1,1,1,1,1,1,
Greece,Europe,1,1,1,1,1,1,
,Europe,1,1,1,1,1,1,
Hungary,Europe,1,1,1,1,1,1,
,Europe,1,1,1,1,1,1,
Iceland,Europe,1,1,1,1,1,1,
,Europe,1,1,1,1,1,1,
Ireland,Europe,1,1,1,1,1,1,
,Europe,1,1,1,1,1,1,
Italy,Europe,1,1,1,1,1,1,
,Europe,1,1,1,1,1,1,
Kazakhstan (small part in Europe),Europe,1,1,1,1,1,1,
,Europe,1,1,1,1,1,1,
Kosovo (partially recognized),Europe,1,1,1,1,1,1,
,Europe,1,1,1,1,1,1,
Latvia,Europe,1,1,1,1,1,1,
,Europe,1,1,1,1,1,1,
Liechtenstein,Europe,1,1,1,1,1,1,
,Europe,1,1,1,1,1,1,
Lithuania,Europe,1,1,1,1,1,1,
,Europe,1,1,1,1,1,1,
Luxembourg,Europe,1,1,1,1,1,1,
,Europe,1,1,1,1,1,1,
Malta,Europe,1,1,1,1,1,1,
,Europe,1,1,1,1,1,1,
Moldova,Europe,1,1,1,1,1,1,
,Europe,1,1,1,1,1,1,
Monaco,Europe,1,1,1,1,1,1,
,Europe,1,1,1,1,1,1,
Montenegro,Europe,1,1,1,1,1,1,
,Europe,1,1,1,1,1,1,
Netherlands,Europe,1,1,1,1,1,1,
,Europe,1,1,1,1,1,1,
North Macedonia,Europe,1,1,1,1,1,1,
,Europe,1,1,1,1,1,1,
Norway,Europe,1,1,1,1,1,1,
,Europe,1,1,1,1,1,1,
Poland,Europe,1,1,1,1,1,1,
,Europe,1,1,1,1,1,1,
Portugal,Europe,1,1,1,1,1,1,
,Europe,1,1,1,1,1,1,
Romania,Europe,1,1,1,1,1,1,
,Europe,1,1,1,1,1,1,
San Marino,Europe,1,1,1,1,1,1,
,Europe,1,1,1,1,1,1,
Serbia,Europe,1,1,1,1,1,1,
,Europe,1,1,1,1,1,1,
Slovakia,Europe,1,1,1,1,1,1,
,Europe,1,1,1,1,1,1,
Slovenia,Europe,1,1,1,1,1,1,
,Europe,1,1,1,1,1,1,
Spain,Europe,1,1,1,1,1,1,
,Europe,1,1,1,1,1,1,
Sweden,Europe,1,1,1,1,1,1,
,Europe,1,1,1,1,1,1,
Switzerland,Europe,1,1,1,1,1,1,
,Europe,1,1,1,1,1,1,
