Emp_ID,Age,Gender,City,Education_Level,Salary,Total Business Value,Quarterly Rating,TenureMonths,Attrition
1001,60,Male,Hyderabad,PhD,383479,6948333,3,77,No
1002,50,Male,Pune,PhD,1842798,5676597,2,19,No
1003,36,Male,Hyderabad,Master,1883319,2838664,4,2,No
1004,64,Female,Delhi,Master,651585,2595623,4,2,Yes
1005,29,Male,Hyderabad,Master,1222001,5689002,1,110,No
1006,42,Male,Mumbai,Master,961162,1147068,4,34,No
1007,60,Male,Kolkata,PhD,1863108,6793838,4,100,No
1008,40,Male,Mumbai,Bachelor,685413,9095828,2,79,No
1009,44,Male,Delhi,Bachelor,1593080,2325480,3,5,No
1010,32,Female,Delhi,Bachelor,1950614,1257099,3,62,No
1011,32,Male,Pune,Master,1479894,7525296,1,97,No
1012,45,Female,Bangalore,Master,1835415,3645810,1,10,No
1013,57,Male,Pune,Master,1584636,4191842,2,92,No
1014,61,Male,Hyderabad,Bachelor,1395999,3611975,3,2,No
1015,45,Male,Bangalore,Bachelor,930144,6595986,4,50,No
1016,24,Male,Delhi,PhD,1376859,6973980,1,102,No
1017,43,Male,Mumbai,Bachelor,919180,6454669,3,76,No
1018,23,Female,Hyderabad,Bachelor,511177,8948318,3,115,No
1019,45,Female,Ahmedabad,Master,950604,8437478,2,112,No
1020,51,Female,Pune,Bachelor,1545139,5254567,2,6,No
1021,59,Female,Kolkata,Bachelor,1851897,1571077,4,32,No
1022,23,Female,Chennai,Bachelor,1704500,3157464,1,4,Yes
1023,42,Female,Chennai,Bachelor,542225,7337852,2,74,No
1024,54,Female,Delhi,Bachelor,1768913,6739678,3,23,No
1025,33,Male,Kolkata,Bachelor,1400442,8823816,4,116,Yes
1026,43,Female,Bangalore,Bachelor,1535555,7718972,1,5,No
1027,46,Male,Chennai,Bachelor,964994,1784642,4,10,No
1028,48,Male,Bangalore,Master,1515055,2359252,4,14,No
1029,63,Female,Mumbai,Bachelor,1502716,795226,4,69,No
1030,49,Male,Delhi,Bachelor,1806438,2301042,2,69,No
1031,37,Male,Ahmedabad,Bachelor,1319965,8060722,1,41,No
1032,36,Female,Delhi,Bachelor,1787942,1969724,3,58,No
1033,24,Male,Hyderabad,Bachelor,1612638,5366807,4,100,No
1034,58,Female,Hyderabad,Bachelor,1644431,5630983,4,54,No
1035,28,Male,Kolkata,PhD,822884,9369239,4,46,No
1036,42,Female,Bangalore,PhD,783444,4575050,2,74,No
1037,30,Male,Ahmedabad,Master,1695197,1064594,2,53,No
1038,60,Female,Chennai,Bachelor,784551,4081410,2,34,No
1039,39,Male,Chennai,Master,945674,9619734,1,78,No
1040,25,Female,Pune,Bachelor,464828,9517994,1,112,No
1041,46,Male,Ahmedabad,Master,723603,5267893,4,35,No
1042,35,Male,Bangalore,Bachelor,1347369,2659553,4,104,No
1043,30,Female,Chennai,Master,1585888,8964885,4,88,No
1044,47,Male,Hyderabad,PhD,929285,1043337,2,92,No
1045,23,Female,Hyderabad,Bachelor,1930171,4301982,4,28,No
1046,41,Male,Ahmedabad,Bachelor,458470,4511698,3,20,No
1047,49,Male,Hyderabad,Bachelor,1516695,2075674,4,69,No
1048,28,Female,Bangalore,Bachelor,1008079,7991104,2,56,No
1049,29,Male,Delhi,PhD,1149325,7066711,1,56,No
1050,56,Female,Kolkata,Bachelor,1961944,6712668,3,69,No
1051,35,Male,Pune,Bachelor,707831,4010534,2,35,No
1052,38,Male,Pune,Master,1871618,8599099,1,8,No
1053,57,Male,Hyderabad,Bachelor,752546,9490468,1,94,No
1054,61,Male,Mumbai,Bachelor,1423627,7348122,4,101,No
1055,25,Female,Ahmedabad,Bachelor,1635811,8917081,3,114,No
1056,23,Female,Bangalore,Master,1556811,6300406,4,94,No
1057,27,Male,Ahmedabad,Bachelor,1493973,4156662,4,33,No
1058,63,Male,Chennai,Master,466988,2319124,4,30,Yes
1059,25,Female,Ahmedabad,Bachelor,1599223,6504869,2,33,No
1060,50,Male,Chennai,Bachelor,1220390,802379,2,107,No
1061,39,Female,Ahmedabad,Bachelor,454746,5808485,2,62,No
1062,47,Male,Ahmedabad,PhD,1938234,722043,4,60,No
1063,55,Male,Kolkata,Bachelor,351162,6689644,4,23,No
