"($ USD in $ as Stated, Unless Otherwise Noted)",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Operating Assumptions:,,Units:,,,,,,Units:,,,,,,
,,,,,,,,,,,,,,
,,,,,Real Estate Taxes % Property Value:,,,%,4.00% ,,,,,
,,,,,Real Estate Taxes Annual Growth Rate:,,,%,2.0% ,,,,,
,,,,,,,,,,,,,,
,Months in Year:,#,12,,Replacement Reserve per RSF (FY24):,,,$ / sq. ft. / Yr, $2.50 ,,,,,
,Rentable Square Feet (RSF):,sq. ft.,"25,000 sq. ft.",,Replacement Reserve Annual Growth Rate:,,,%,3.0% ,,,,,
,,,,,,,,,,,,,,
,Property Management Fees % EGI:,%,3.0% ,,Common Area Utilities per RSF (FY24):,,,$ / sq. ft. / Yr, $3.00 ,,,,,
,,,,,Common Area Utilities Annual Growth Rate:,,,%,3.0% ,,,,,
,Common Area Maintenance (CAM) per RSF (FY24):,$ / sq. ft. / Yr, $5.00 ,,,,,,,,,,,
,Common Area Maintenance Annual Growth Rate:,%,3.5% ,,,,,,,,,,,
,,,,,,,,,,,,,,
,Insurance per RSF (FY24):,$ / sq. ft. / Yr, $2.00 ,,,,,,,,,,,
,Insurance Annual Growth Rate:,%,2.5% ,,,,,,,,,,,
,,,,,,,,,,,,,,
Acquisition and Exit Assumptions:,,Units:,,,,,,Units:,,,,,,
,,,,,,,,,,,,,,
,Acquisition Date:,Date,2024-12-31,,Exit Date:,,,Date,2029-12-31,,,,,
,Acquisition Price per Rentable Square Foot:,$ / sq. ft.," $1,000.00 ",,Exit Cap Rate:,,,%,6.00% ,,,,,
,Acquisition Price:,$," $25,000,000 ",,,,,,,,,,,
,,,,,Exit Price:,,,$, $- ,,,,,
,Implied Going-In Cap Rate:,%,- ,,Exit Price per RSF:,,,$ / sq. ft., $-   ,,,,,
,,,,,,,,,,,,,,
,Acquisition Costs (% Gross Acquisition Price):,%,1.00% ,,Selling Costs (% Gross Sale Price):,,,%,1.50% ,,,,,
,Loan Issuance Fees (% Total Debt):,%,1.50% ,,,,,,,,,,,
,,,,,,,,,,,,,,
,Senior Loan Loan-to-Value (LTV) Ratio:,%,50.0% ,,Mezzanine Loan-to-Value (LTV) Ratio:,,,%,10.0% ,,,,,
,Senior Loan Interest Rate:,%,5.00% ,,Mezzanine Cash Interest Rate:,,,%,7.00% ,,,,,
,Senior Loan Amortization Period:,# Years,25 ,,Mezzanine PIK Interest Rate:,,,%,3.00% ,,,,,
,Senior Loan Maturity:,# Years,5 ,,Mezzanine Amortization Period:,,,# Years,N/A ,,,,,
,,,,,Mezzanine Maturity:,,,# Years,5 ,,,,,
,Operating Partner Equity Contribution:,%,10.0% ,,,,,,,,,,,
,Asset Management Fee % Initial Equity Invested:,%,1.5% ,,,,,,,,,,,
,Profit Split Below IRR Hurdle:,%,- ,,,,,,,,,,,
,IRR Hurdle (Based on Levered IRR to LPs):,%,10.0% ,,,,,,,,,,,
,Profit Split Beyond IRR Hurdle:,%,20.0% ,,,,,,,,,,,
,,,,,,,,,,,,,,
,Limited Partner Equity Contribution:,%,90.0% ,,,,,,,,,,,
,,,,,,,,,,,,,,
Acquisition Sources and Uses of Funds:,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Sources of Funds:,,,,"Uses of 
Funds:",,,,,,,,,
,Senior Debt: ,," $12,500,000 ",,Acquisition Price: ,,,," $25,000,000 ",,,,,
,Mezzanine:,," 2,500,000 ",,Acquisition Costs:,,,," 250,000 ",,,,,
,Operating Partner - Equity: ,," 1,053,750 ",,Loan Issuance Fees: ,,,,"225,000 ",,,,,
,Limited Partners - Equity: ,," 9,483,750 ",,Replacement Reserves:,,,,"62,500 ",,,,,
,Total Sources: ,," $25,537,500 ",,Total Uses: ,,,," $25,537,500 ",,,,,
,,,,,,,,,,,,,,
,,,,Historical:,Projected:,,,,,Stabilized,,,,
