Account,Account Group,Requested Allocation $,Flip %,Holding Days,,,,,,
Titan Global,Hedge Fund,"$13,827,945",36.790%,13,,,,,,
GoldenGate Capital,Long-Only,"$28,035,681",16.077%,148,,,,,,
Cypress Mutual,Long-Only,"$37,558,844",12.428%,73,,,,,,
UnionTrust Pensions,Long-Only,"$22,891,734",9.074%,122,,,,,,10
Frontier Alpha,Hedge Fund,"$11,882,150",43.398%,7,,,,,,
Greenfield Pensions,Long-Only,"$26,483,421",14.696%,105,,,,,,
Silverline Advisors,Long-Only,"$38,005,545",13.118%,61,,,,,,
Granite Mutual,Long-Only,"$22,516,403",13.710%,119,,,,,,
CedarRock AM,Long-Only,"$25,502,347",7.299%,127,,,,,,
Onyx Partners,Hedge Fund,"$15,790,603",59.179%,17,,,,,,
Evergreen Capital,Long-Only,"$26,836,257",18.740%,78,,,,,,
Falcon Capital,Hedge Fund,"$20,405,071",30.773%,19,,,,,,
Harborview Pensions,Long-Only,"$30,799,388",13.808%,102,,,,,,
Keystone Capital,Hedge Fund,"$24,519,759",35.014%,16,,,,,,
NovaSphere,Hedge Fund,"$16,055,657",53.360%,18,,,,,,
Everest Asset Mgmt,Long-Only,"$21,097,729",17.951%,88,,,,,,
Apex Macro,Hedge Fund,"$15,366,706",33.338%,20,,,,,,
ElmTree Capital,Long-Only,"$27,019,526",10.948%,140,,,,,,
Maple Asset Mgmt,Long-Only,"$36,589,239",9.666%,115,,,,,,
BlueHarbor Funds,Long-Only,"$23,665,197",10.554%,94,,,,,,
Summit Crest,Hedge Fund,"$12,401,288",43.102%,8,,,,,,
Aurora Capital,Long-Only,"$33,352,965",6.608%,112,,,,,,
Sequoia AM,Long-Only,"$28,939,216",14.302%,96,,,,,,
Ironwood Partners,Hedge Fund,"$21,863,222",40.636%,9,,,,,,
Quantum Partners,Hedge Fund,"$17,862,539",52.669%,5,,,,,,
Aspen River Funds,Long-Only,"$37,258,618",15.387%,65,,,,,,
Clearwater Funds,Long-Only,"$31,183,725",8.581%,141,,,,,,
Velocity Point,Hedge Fund,"$19,653,467",36.592%,15,,,,,,
Stonebridge Capital,Long-Only,"$24,971,004",6.806%,124,,,,,,
Highland Mutual,Long-Only,"$29,582,359",19.431%,81,,,,,,
Catalyst Point,Hedge Fund,"$11,375,084",38.960%,14,,,,,,
Northstar AM,Long-Only,"$27,914,521",16.669%,74,,,,,,
TrueNorth AM,Long-Only,"$38,915,547",5.819%,138,,,,,,
Zenith Strategies,Hedge Fund,"$13,502,956",54.839%,11,,,,,,
Pioneer Trust,Long-Only,"$23,781,299",11.441%,100,,,,,,
Ridgeview Asset Mgmt,Long-Only,"$26,208,857",7.003%,146,,,,,,
SilverRock,Hedge Fund,"$14,728,014",47.738%,6,,,,,,
Redwood Analytics,Hedge Fund,"$12,109,922",42.214%,10,,,,,,
Riverstone AM,Long-Only,"$22,549,168",13.217%,69,,,,,,
BlueOak Advisors,Long-Only,"$33,568,890",5.227%,134,,,,,,
Helix Global,Hedge Fund,"$17,204,237",50.302%,12,,,,,,
Lighthouse Advisors,Long-Only,"$30,759,213",17.458%,77,,,,,,
Triton Ridge,Hedge Fund,"$10,275,491",60.659%,7,,,,,,
Broadstone Pensions,Long-Only,"$26,623,847",12.724%,109,,,,,,
SummitStone Investors,Long-Only,"$24,001,841",14.893%,123,,,,,,
BlackPeak Advisors,Hedge Fund,"$18,759,323",34.225%,6,,,,,,
VistaPoint Investors,Long-Only,"$32,698,574",15.781%,86,,,,,,
